id,identity_to_query
ggtdt_af3_A_A,1.000
UniRef90_A0AA88X3L5/264-546,0.184
UniRef90_A0AA88X3L5/723-1093,0.228
UniRef90_UPI000C6EB432/129-369,0.161
UniRef90_UPI000C6EB432/383-696,0.236
UniRef90_A0AA88RDK2/313-538,0.161
UniRef90_A0AA88RDK2/730-1105,0.236
UniRef90_A0A7R9BSY7/8-302,0.176
UniRef90_A0A091MSF3/136-490,0.251
UniRef90_A0A091U380/138-492,0.254
UniRef90_UPI00371529E5/107-456,0.244
UniRef90_W5N181/229-578,0.244
UniRef90_G1NCL9/223-575,0.262
UniRef90_UPI000E1D81C1/97-450,0.254
UniRef90_A0A8B9PBG3/226-579,0.254
UniRef90_A0A8C4PBL5/252-603,0.254
UniRef90_A0A663MGS3/229-583,0.251
UniRef90_A0A3Q3LZQ0/219-567,0.246
UniRef90_UPI0032B7B261/52-406,0.251
UniRef90_A0A8V0Z8P6/253-605,0.259
UniRef90_A0AAV4HS68/168-533,0.264
UniRef90_A0A8B9BS08/216-568,0.254
UniRef90_UPI003D9F702B/219-565,0.251
UniRef90_A0A8C9Y838/218-566,0.246
UniRef90_A0A672TN44/225-579,0.246
UniRef90_A0AAE0SQH7/200-561,0.256
UniRef90_A0A8C9NT63/225-578,0.254
UniRef90_A0A091TC67/137-491,0.244
UniRef90_A0A091IEX6/136-490,0.254
UniRef90_UPI0021CC75B7/271-624,0.254
UniRef90_UPI001B3B0D18/217-566,0.246
UniRef90_UPI0032DA0D68/51-404,0.256
UniRef90_A0A2I0LP61/225-579,0.246
UniRef90_UPI000523F06C/228-580,0.254
UniRef90_A0A091G5J5/134-488,0.254
UniRef90_UPI0020A2245A/326-679,0.267
UniRef90_A0A8B9N2D4/223-576,0.246
UniRef90_A0A6J3DBR0/216-568,0.254
UniRef90_Q6P0S1/211-565,0.259
UniRef90_A0A671SF73/201-553,0.256
UniRef90_A0A091QAM1/136-490,0.246
UniRef90_U3IRR6/265-617,0.256
UniRef90_A0A8B9IGX3/607-959,0.254
UniRef90_A0A6J2VUX9/211-562,0.259
UniRef90_UPI002F90EB2B/434-788,0.244
UniRef90_A0AAV1EVB3/221-566,0.246
UniRef90_A0A667XLD1/207-564,0.249
UniRef90_A0A671TWQ2/218-566,0.251
UniRef90_UPI002A83E661/117-472,0.264
UniRef90_A0A4W6C374/242-600,0.251
UniRef90_A0A093C072/136-489,0.254
UniRef90_A0A8C5EM84/220-566,0.236
UniRef90_UPI001CD8E5D5/222-568,0.244
UniRef90_UPI0023A8D92F/98-450,0.251
UniRef90_A0A3B3BWY5/216-565,0.251
UniRef90_UPI003B9FD06F/226-579,0.259
UniRef90_UPI001FB5A4BF/225-568,0.249
UniRef90_UPI001ED82F27/208-566,0.254
UniRef90_UPI0022234956/233-587,0.254
UniRef90_UPI0034624E12/225-571,0.244
UniRef90_A0A6P7M371/209-560,0.251
UniRef90_A0A835NVW2/218-573,0.251
